№,Заголовок,URL,Символов,Строк,Дата сбора,Категория,Блоков кода,Таблиц
1,Дообучение готовой модели из Huggingface,https://cloud.ru/docs/tutorials-evolution/list/topics/ml-finetuning__finetune-example?source-platform=Evolution,2500,93,2025-12-16T21:40:12,AI Factory,0,0
2,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,8107,233,2025-12-16T21:40:15,AI Factory,22,0
3,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundat,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,8309,245,2025-12-16T21:40:18,AI Factory,10,0
4,Создание приложения с Aider и Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__assistent-aider?source-platform=Evolution,3647,84,2025-12-16T21:40:20,AI Factory,6,0
5,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,10836,245,2025-12-16T21:40:23,Notebooks,12,0
6,Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__comfyui-kandinsky?source-platform=Evolution,4643,112,2025-12-16T21:40:25,Notebooks,3,0
7,Генерация изображений с ComfyUI на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__images-comfyui?source-platform=Evolution,3207,86,2025-12-16T21:40:28,Notebooks,5,0
8,Инференс изображений на предобученой модели на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,3822,61,2025-12-16T21:40:30,Notebooks,9,0
9,"Инференс на собственных изображениях с использованием модели CNN, обученной на M",https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,5501,84,2025-12-16T21:40:33,Notebooks,15,0
10,Создание Telegram-бота для поиска информации из Jira на основе Notebooks,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__low-code-rag?source-platform=Evolution,6193,178,2025-12-16T21:40:36,Notebooks,2,0
11,Использование Managed Redis® как брокера сообщений,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__queue-broker?source-platform=Evolution,4518,144,2025-12-16T21:40:38,Базы данных,15,0
12,Миграция PostgreSQL с помощью Trino,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-trino__migration-postgresql?source-platform=Evolution,3608,142,2025-12-16T21:40:41,Базы данных,9,0
13,Оптимизация производительности Web-приложения с Managed Redis®,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-redis__web-performance?source-platform=Evolution,6298,140,2025-12-16T21:40:44,Базы данных,19,0
14,Подключение Trino к PostgreSQL®,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-trino__trino-postgres?source-platform=Evolution,4747,202,2025-12-16T21:40:46,Базы данных,8,0
15,Построение графика с PostgreSQL,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-bi__superset-postgresql?source-platform=Evolution,7038,277,2025-12-16T21:40:49,Базы данных,1,0
16,Развертывание PostgreSQL на сервере Bare Metal,https://cloud.ru/docs/tutorials-evolution/list/topics/bare-metal__postgre_deploy?source-platform=Evolution,2995,61,2025-12-16T21:40:51,Базы данных,7,0
17,Резервное копирование и восстановление базы данных,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-postgresql__pg_dump?source-platform=Evolution,2287,78,2025-12-16T21:40:53,Базы данных,2,0
18,Создание базы знаний из JSON-файла,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-rag__json-files?source-platform=Evolution,2297,76,2025-12-16T21:40:56,Базы данных,2,0
19,Создание базы знаний из md-файлов,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-rag__md-files?source-platform=Evolution,4067,101,2025-12-16T21:40:58,Базы данных,2,0
20,Kafbat UI для менеджмента и мониторинга кластера Managed Kafka®,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kafka__kafka-ui?source-platform=Evolution,6932,202,2025-12-16T21:41:00,Брокеры сообщений,14,0
21,Использование Managed Kafka® для фоновой обработки задач,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-kafka__background-tasks?source-platform=Evolution,5097,153,2025-12-16T21:41:03,Брокеры сообщений,16,0
22,No-code автоматизация рассылки курса валют в Telegram с помощью n8n,https://cloud.ru/docs/tutorials-evolution/list/topics/free-tier-vm__currency-n8n-tg-bot?source-platform=Evolution,7934,241,2025-12-16T21:41:05,Инфраструктура,14,1
23,Запуск Kandinsky 5.0 Video Lite на GPU NVIDIA A100,https://cloud.ru/docs/tutorials-evolution/list/topics/vm__kandinsky?source-platform=Evolution,9219,288,2025-12-16T21:41:08,Инфраструктура,31,1
24,Запуск Telegram-бота на Python на виртуальной машине,https://cloud.ru/docs/tutorials-evolution/list/topics/free-tier-vm__tg-bot-python?source-platform=Evolution,4823,128,2025-12-16T21:41:10,Инфраструктура,9,0
