chunk_id,doc_id,title,category,chunk_index,total_chunks,tokens_count,has_code,has_tables,is_code_block,chunk_type,is_complete_code,url,source_hash,chunk_preview
efef4565be0194c3_0000,doc_0000,Дообучение готовой модели из Huggingface,AI Factory,0,1,312,False,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/ml-finetuning__finetune-example?source-platform=Evolution,efef4565be0194c3,"Дообучение готовой модели из Huggingface
С помощью этого руководства вы запустите процесс дообучения модели
mistralai/Ministral-8B-Instruct-2410
Вы бу..."
54f30058e551997a_0000,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models,AI Factory,0,12,1005,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платформу LibreChat на бесплатн..."
54f30058e551997a_code_0000,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,1,12,53,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0001,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,2,12,15,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0002,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,3,12,19,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0003,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,4,12,20,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0004,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,5,12,29,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0005,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,6,12,21,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0006,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,7,12,17,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
54f30058e551997a_code_0007,doc_0001,Подключение корпоративной AI чат-платформы LibreChat к Foundation Models (код),AI Factory,8,12,21,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-librechat?source-platform=Evolution,54f30058e551997a,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Подключение корпоративной AI чат-платформы LibreChat к Foundation Models
С помощью этого руководства вы развернете чат-платфор..."
